ts	phase	decision	why	evidence	result
2026-09-07T09:21:57Z	design	name the new public derive and trait PinaPod	this is the user-approved name and replaces the ZeroPod family	conversation approval	approved
2026-09-07T09:21:57Z	design	keep String and Vec aliases and use PodString and PodVec for explicit prefix widths	the aliases are discoverable through the LSP while the concrete types keep non-default wire choices visible	pinapod/src/lib.rs	approved
2026-09-07T09:21:57Z	design	support Vec<String<M>, N> in compact schemas using per-string lengths	the user requested this bounded dynamic nesting case without opening arbitrary dynamic nesting	conversation approval	open
2026-09-07T09:21:57Z	delivery	develop Pinapod and Pina in sibling worktrees and merge Pinapod first	Pina depends on the new Pinapod release and both repositories require pull requests	feat/pinapod-v2, feat/pinapod-v2-migration	worktrees created
2026-09-07T09:28:37Z	baseline	accept the existing suite as a behavior baseline but not a safety proof	all existing ordinary and Miri tests pass because none exercises the reported forged-view, inactive-payload, unchecked-size, or uninitialized-capacity cases	devenv shell test:all; devenv shell test:miri	passed
2026-09-07T09:28:37Z	design	encode Vec<String<M>, N> as N fixed-size PodString elements	each active element retains an independent logical length while fixed element footprints keep outer-vector offset calculation bounded and deterministic	PodString prefix plus M-byte capacity per element	approved implementation
2026-09-07T09:28:37Z	safety	remove public safe mutable access to compact structural metadata	otherwise callers can replace validated length prefixes and make later tail copies trust incompatible offsets	ZeroPodCompact::header_mut	assigned to trait redesign
2026-09-07T09:31:31Z	baseline	record Pina v0.13.0 as green before migration	the downstream comparison needs to distinguish migration failures from pre-existing failures	devenv shell cargo test -p pina	passed
2026-09-07T09:31:31Z	performance	compare current Pinapod against both the fork base and upstream 0pod	the user asked for safety-overhead evidence against the previous implementation and a continuing Pinapod-versus-0pod performance contest	Pinapod 71ad8be; zeropod 78e6e5f4	assigned to benchmark harness
2026-09-07T10:02:31Z	safety	store every fixed struct field through its ZcField mapping and require the mapped Pod to be a ZcElem	this prevents recursion for derived enums and prevents local types named like primitives from bypassing the representation contract	fixed_pina_pod, fixed_backend, fixed_enum, fixed_nested, generic_fixed	passed 44 focused tests
2026-09-07T10:02:31Z	safety	fully initialize container capacity and zero removed String and Vec suffixes	whole-representation copies must not propagate uninitialized bytes and shrinking must not disclose stale payload bytes	container_initialization	passed 7 focused regressions
2026-09-07T10:02:31Z	wire-format	preserve bytes across current, previous Pinapod, and upstream zeropod benchmark fixtures	the breaking API and safety work must not silently change the established account encoding	api_comparison benchmark preflight	fixed 45B; compact header 15B; small 36B; max 207B; parity passed
2026-09-07T10:02:31Z	ci	retain the `$/.github/actions/devenv` self-repository references	zizmor identifies `$` as GitHub's dedicated self-repository syntax and flags `./` for replacement	security:zizmor after a temporary `./` probe	initial hypothesis rejected; original 14 references restored
